service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,1,0,20251213,20251213
2,1,1,1,1,1,1,0,20251208,20251219
3,0,0,1,0,0,1,0,20251210,20251217
4,0,0,0,1,0,0,1,20251214,20260104
5,0,0,0,1,0,0,1,20251225,20260104
6,1,1,1,0,1,0,0,20251222,20260102
7,1,1,0,0,1,1,0,20251220,20260103
8,1,1,1,0,1,1,0,20251220,20260103
9,1,1,0,0,1,0,0,20251222,20260102
10,0,0,0,0,0,1,0,20251220,20260103
11,0,0,1,0,0,0,0,20251224,20251231
12,0,0,0,0,0,0,1,20251214,20251221
13,1,1,1,1,1,0,0,20251208,20251219
14,1,1,0,1,1,0,0,20251208,20251219
15,0,0,0,0,0,1,0,20260110,20260627
16,1,1,1,1,1,1,0,20260105,20260703
17,0,0,1,0,0,1,0,20260107,20260701
18,0,0,0,0,0,0,1,20260111,20260628
19,0,0,0,0,0,1,0,20260214,20260516
20,1,1,1,1,1,1,1,20260216,20260515
21,0,0,0,0,0,1,0,20260214,20260516
22,1,1,1,1,1,0,0,20260105,20260703
23,1,1,0,1,1,1,0,20260105,20260703
24,0,0,1,0,0,0,0,20260107,20260701
25,0,0,0,0,0,0,1,20260628,20260628
26,1,1,0,1,1,0,0,20260105,20260703
