stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
10880,50AC,Gare - SOMAIN,,50.355733,3.278615,1,,0
21742,50AC1,Gare - SOMAIN,,50.355819,3.278356,0,10880,0
10879,50AB,Résidence Ferrari,,50.355773,3.272225,1,,0
21740,50AB1,Résidence Ferrari,,50.355827,3.272211,0,10879,0
10878,50AA,Edmond Simon,,50.355861,3.265195,1,,0
21738,50AA1,Edmond Simon,,50.355897,3.265153,0,10878,0
10700,31AA,Brasserie - BRUILLE LEZ MARCHIENNES,,50.358445,3.244096,1,,0
21616,31AA2,Brasserie - BRUILLE LEZ MARCHIENNES,,50.358232,3.243884,0,10700,0
10811,31AB,Mairie - BRUILLE LEZ MARCHIENNES,,50.356389,3.240410,1,,0
21609,31AB1,Mairie - BRUILLE LEZ MARCHIENNES,,50.356405,3.240654,0,10811,0
10720,25AB,Place - ECAILLON,,50.349816,3.215991,1,,0
21611,25AB2,Place - ECAILLON,,50.349852,3.216026,0,10720,0
11054,25AE,Cimetière - ECAILLON,,50.349723,3.209402,1,,0
22121,25AE2,Cimetière - ECAILLON,,50.349764,3.209388,0,11054,0
10972,17AI,Epinettes - MASNY,,50.347550,3.205146,1,,0
21904,17AI2,Epinettes - MASNY,,50.347393,3.204945,0,10972,0
10973,17AJ,Perrault,,50.345152,3.203153,1,,0
21906,17AJ2,Perrault,,50.345179,3.203167,0,10973,0
10699,17AG,Collège Desnos,,50.341456,3.201800,1,,0
21381,17AG1,Collège Desnos,,50.341456,3.201800,0,10699,0
10334,17AA,Commerces - MASNY,,50.336965,3.201844,1,,0
20665,17AA2,Commerces - MASNY,,50.336920,3.201943,0,10334,0
10688,22AE,St Robert,,50.321258,3.207645,1,,0
21360,22AE2,St Robert,,50.321210,3.207576,0,10688,0
10687,22AD,St Roch,,50.315485,3.207066,1,,0
21358,22AD2,St Roch,,50.315418,3.207031,0,10687,0
10686,22AC,Rousseau,,50.308912,3.209099,1,,0
21356,22AC2,Rousseau,,50.308770,3.209086,0,10686,0
10685,22AB,Eglise - MONCHECOURT,,50.304271,3.207737,1,,0
21354,22AB2,Eglise - MONCHECOURT,,50.304075,3.208248,0,10685,0
10684,22AA,Mairie - MONCHECOURT,,50.303463,3.212336,1,,0
21351,22AA1,Mairie - MONCHECOURT,,50.303463,3.212336,0,10684,0
21353,22AB1,Eglise - MONCHECOURT,,50.304292,3.208107,0,10685,0
10980,22AH,Voltaire - MONCHECOURT,,50.299532,3.204567,1,,0
21959,22AH2,Voltaire - MONCHECOURT,,50.299476,3.204416,0,10980,0
11017,54AC,Bel Horizon,,50.291823,3.198182,1,,0
22034,54AC1,Bel Horizon,,50.291837,3.198147,0,11017,0
10899,54AB,Monument - FRESSAIN,,50.287331,3.194361,1,,0
21781,54AB1,Monument - FRESSAIN,,50.287594,3.194352,0,10899,0
11018,55AC,Alouettes,,50.270938,3.208227,1,,0
22036,55AC1,Alouettes,,50.270990,3.208110,0,11018,0
10900,55AA,Place de Gaulle - FECHAIN,,50.265918,3.210460,1,,0
21782,55AA1,Place de Gaulle - FECHAIN,,50.265862,3.210420,0,10900,0
11019,55AD,Hosselet,,50.263740,3.205237,1,,0
22038,55AD1,Hosselet,,50.263822,3.204074,0,11019,0
11024,70AA,Centre - AUBIGNY AU BAC,,50.262638,3.165132,1,,0
22046,70AA1,Centre - AUBIGNY AU BAC,,50.262693,3.165265,0,11024,0
11026,70AB,Coteau,,50.265523,3.162412,1,,0
22048,70AB1,Coteau,,50.265914,3.162283,0,11026,0
11028,70AC1,Place - AUBIGNY AU BAC,,50.263359,3.160182,1,,0
22050,70AC1,Place - AUBIGNY AU BAC,,50.263322,3.159963,0,11028,0
11067,75AB,Ecole - AUBENCHEUL AU BAC,,50.257834,3.158462,1,,0
22148,75AB1,Ecole - AUBENCHEUL AU BAC,,50.258080,3.158616,0,11067,0
11066,75AA,Belvédère,,50.258498,3.155047,1,,0
22146,75AA1,Belvédère,,50.258605,3.154962,0,11066,0
11013,86AB,Mairie - BRUNEMONT,,50.271617,3.141522,1,,0
22026,86AB1,Mairie - BRUNEMONT,,50.271616,3.141650,0,11013,0
11012,86AA,Passage à Niveau - BRUNEMONT,,50.278325,3.146006,1,,0
22024,86AA1,Passage à Niveau - BRUNEMONT,,50.278316,3.146055,0,11012,0
10895,53AA,Longue Borne - BUGNICOURT,,50.287546,3.152729,1,,0
21773,53AA1,Longue Borne - BUGNICOURT,,50.287179,3.152733,0,10895,0
11022,53AE,La Tuilerie,,50.290512,3.151515,1,,0
22045,53AE1,La Tuilerie,,50.290402,3.151506,0,11022,0
22081,53AA3,Longue Borne - BUGNICOURT,,50.288115,3.152684,0,10895,0
10890,52AC,Ecole F. Noël,,50.283432,3.121999,1,,0
22113,52AC3,Ecole F. Noël,,50.283316,3.122163,0,10890,0
10891,52AD,Cité Guyot,,50.282967,3.117770,1,,0
21766,52AD1,Cité Guyot,,50.282981,3.117896,0,10891,0
10892,52AE,Vieux Cimetière,,50.282444,3.111305,1,,0
21768,52AE1,Vieux Cimetière,,50.282640,3.111910,0,10892,0
10893,52AF,Centre - ARLEUX,,50.281702,3.105326,1,,0
21770,52AF1,Centre - ARLEUX,,50.281743,3.105222,0,10893,0
10894,52AG,Collège Val de la Sensée,,50.283800,3.099826,1,,0
22065,52AG4,Collège Val de la Sensée,,50.283687,3.100084,0,10894,0
10998,82AC,Mont Gratien,,50.295538,3.073376,1,,0
21999,82AC2,Mont Gratien,,50.295764,3.073108,0,10998,0
10997,82AB,Mont,,50.297871,3.070204,1,,0
21997,82AB2,Mont,,50.297947,3.070265,0,10997,0
11035,82AD1,Mont de la Vigne,,50.300789,3.076970,1,,0
22058,82AD2,Mont de la Vigne,,50.300699,3.076956,0,11035,0
11007,85AD,Le Molinel,,50.308504,3.099043,1,,0
22017,85AD2,Le Molinel,,50.308648,3.098826,0,11007,0
11006,85AC,La Forge,,50.315582,3.095495,1,,0
22015,85AC2,La Forge,,50.315617,3.095530,0,11006,0
11005,85AB,Eglise - GOEULZIN,,50.317516,3.093138,1,,0
22013,85AB2,Eglise - GOEULZIN,,50.317630,3.093080,0,11005,0
11055,81AE,Petite Sensée,,50.324512,3.079309,1,,0
22123,81AE2,Petite Sensée,,50.324436,3.079615,0,11055,0
11056,81AD,Rue de Goeulzin,,50.327293,3.075247,1,,0
22125,81AD2,Rue de Goeulzin,,50.327465,3.075160,0,11056,0
10993,81AA,Bol d'air,,50.330103,3.076791,1,,0
21989,81AA2,Bol d'air,,50.330059,3.076833,0,10993,0
10570,02AX,C. Cial Pte de Mr Gayant,,50.340705,3.098425,1,,0
21135,02AX1,C. Cial Pte de Mr Gayant,,50.340705,3.098425,0,10570,0
10653,13AM,Parc du Luc,,50.340886,3.101486,1,,0
21293,13AM1,Parc du Luc,,50.340910,3.101431,0,10653,0
10366,13AC,Centre Hospitalier,,50.338681,3.101466,1,,0
20727,13AC1,Centre Hospitalier,,50.338351,3.101284,0,10366,0
10365,12AA,St Pol,,50.346650,3.091354,1,,0
20726,12AA2,St Pol,,50.346256,3.091034,0,10365,0
10364,01AP,Le Raquet,,50.350636,3.087030,1,,0
20724,01AP2,Le Raquet,,50.350508,3.087247,0,10364,0
10363,01AO,Eglise du Râquet,,50.353110,3.085097,1,,0
20722,01AO2,Eglise du Râquet,,50.353075,3.085216,0,10363,0
10362,01AN,Pont de Cambrai,,50.358411,3.080566,1,,0
20720,01AN2,Pont de Cambrai,,50.358130,3.080945,0,10362,0
10361,01AM,Maison des Géants,,50.362015,3.078415,1,,0
20718,01AM2,Maison des Géants,,50.362003,3.078544,0,10361,0
10360,01AL,Porte de Paris,,50.363804,3.078889,1,,0
20716,01AL2,Porte de Paris,,50.363835,3.078988,0,10360,0
10013,01DO,Beffroi,,50.367477,3.081651,1,,0
20025,01DO2,Beffroi,,50.367462,3.081678,0,10013,0
10660,01AB,Place de Gaulle - DOUAI,,50.367615,3.084984,1,,0
21093,01AB6,Place de Gaulle - DOUAI,,50.367584,3.085134,0,10660,0
10352,01AD,Place Carnot,,50.371778,3.086037,1,,0
21436,01AD4,Place Carnot,,50.372016,3.086065,0,10352,0
10898,54AA,Fontaine,,50.286822,3.187579,1,,0
21780,54AA2,Fontaine,,50.286879,3.187701,0,10898,0
10897,53AC,Camping,,50.292697,3.161066,1,,0
21778,53AC2,Camping,,50.292726,3.161191,0,10897,0
11014,53AD,Fontaine de Bugnicourt,,50.292150,3.157489,1,,0
22029,53AD2,Fontaine de Bugnicourt,,50.292165,3.157307,0,11014,0
10896,53AB,Les Ecoles,,50.290174,3.154321,1,,0
21776,53AB2,Les Ecoles,,50.290247,3.154358,0,10896,0
21294,13AM2,Parc du Luc,,50.340879,3.101613,0,10653,0
21988,81AA1,Bol d'air,,50.330148,3.076749,0,10993,0
22126,81AD1,Rue de Goeulzin,,50.327122,3.075335,0,11056,0
22124,81AE1,Petite Sensée,,50.324588,3.079004,0,11055,0
22012,85AB1,Eglise - GOEULZIN,,50.317402,3.093196,0,11005,0
22014,85AC1,La Forge,,50.315546,3.095460,0,11006,0
22016,85AD1,Le Molinel,,50.308360,3.099260,0,11007,0
22057,82AD1,Mont de la Vigne,,50.300879,3.076985,0,11035,0
21996,82AB1,Mont,,50.297794,3.070143,0,10997,0
21998,82AC1,Mont Gratien,,50.295312,3.073644,0,10998,0
22064,52AG3,Collège Val de la Sensée,,50.283913,3.099569,0,10894,0
21771,52AF2,Centre - ARLEUX,,50.281661,3.105429,0,10893,0
