route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
116,1,740786,Place Carnot,0,20-05,36103,1,2
116,2,740765,Centre Hospitalier,0,20-11,36104,1,2
116,2,740777,Gare - SOMAIN,1,20-11,36109,1,2
116,1,740787,Centre Hospitalier,0,20-04,36120,1,2
116,1,740796,Gare - SOMAIN,1,20-04,36113,1,2
78,2,741760,Route de Flines,1,17-05,36042,1,2
78,2,741762,ZI Cuincy,0,17-05,36041,1,2
78,2,741763,Route de Flines,1,17-05,36042,1,2
78,2,741765,ZI Cuincy,0,17-05,36041,1,2
78,2,741768,ZI Cuincy,0,17-05,36041,1,2
78,2,741770,ZI Cuincy,0,17-05,36041,1,2
78,2,741771,Route de Flines,1,17-05,36042,1,2
78,2,741772,Route de Flines,1,17-05,36042,1,2
78,1,741778,Route de Flines,1,17-06,36042,1,2
78,1,741779,ZI Cuincy,0,17-06,36041,1,2
78,1,741780,ZI Cuincy,0,17-06,36041,1,2
78,1,741781,Route de Flines,1,17-06,36042,1,2
78,1,741782,Route de Flines,1,17-06,36042,1,2
78,1,741786,ZI Cuincy,0,17-06,36041,1,2
78,1,741790,Route de Flines,1,17-06,36042,1,2
115,1,748743,Chaufour,0,19-04,36066,1,2
115,1,748748,La Dondaine,1,19-04,36068,1,2
51,1,746201,Bon Air,0,B-10,35926,1,2
51,1,746202,Centre Hospitalier,1,B-10,35928,1,2
51,1,746203,Bon Air,0,B-10,35926,1,2
51,1,746204,Centre Hospitalier,1,B-10,35928,1,2
51,1,746205,Gare - LEFOREST,0,B-10,35921,1,2
51,1,746206,Centre Hospitalier,1,B-10,35919,1,2
51,1,746137,Gare - LEFOREST,0,B-08,35921,1,2
51,1,746148,Centre Hospitalier,1,B-08,35919,1,2
51,1,746149,Bon Air,0,B-08,35926,1,2
51,1,746160,Centre Hospitalier,1,B-08,35928,1,2
51,1,746161,Bon Air,0,B-08,35926,1,2
51,1,746172,Centre Hospitalier,1,B-08,35928,1,2
51,1,746143,Bon Air,0,B-09,35926,1,2
51,1,746154,Centre Hospitalier,1,B-09,35928,1,2
51,1,746155,Gare - LEFOREST,0,B-09,35921,1,2
51,1,746166,Centre Hospitalier,1,B-09,35919,1,2
51,1,746167,Gare - LEFOREST,0,B-09,35921,1,2
51,1,746177,Centre Hospitalier,1,B-09,35919,1,2
51,1,746190,Bon Air,0,B-09,35926,1,2
114,1,748779,Cité Heurteau,1,18-01,36064,1,2
114,1,748780,Collège Val de la Sensée,0,18-01,36060,1,2
114,1,748781,Cité Heurteau,1,18-01,36063,1,2
114,1,748782,Collège Val de la Sensée,0,18-01,36060,1,2
114,1,748783,Cité Heurteau,1,18-01,36063,1,2
114,1,748784,Collège Val de la Sensée,0,18-01,36060,1,2
114,1,748785,Cité Heurteau,1,18-01,36063,1,2
114,1,748786,Collège Val de la Sensée,0,18-01,36060,1,2
114,1,748787,Cité Heurteau,1,18-01,36063,1,2
114,1,748788,Collège Val de la Sensée,0,18-02,36060,1,2
114,1,748789,Cité Heurteau,1,18-02,36063,1,2
114,1,748790,Collège Val de la Sensée,0,18-02,36060,1,2
114,1,748791,Cité Heurteau,1,18-02,36063,1,2
114,1,748792,Collège Val de la Sensée,0,18-02,36060,1,2
114,1,748793,Cité Heurteau,1,18-02,36063,1,2
114,1,748794,Collège Val de la Sensée,0,18-02,36060,1,2
114,1,748795,Cité Heurteau,1,18-02,36063,1,2
114,1,748796,Hôtel de ville,0,18-02,36061,1,2
114,1,748797,Cité Heurteau,1,18-03,36064,1,2
114,1,748798,Collège Val de la Sensée,0,18-03,36060,1,2
114,1,748799,Cité Heurteau,1,18-03,36063,1,2
114,1,748800,Collège Val de la Sensée,0,18-03,36060,1,2
114,1,748801,Cité Heurteau,1,18-03,36063,1,2
114,1,748802,Collège Val de la Sensée,0,18-03,36060,1,2
114,1,748803,Cité Heurteau,1,18-03,36063,1,2
114,1,748804,Collège Val de la Sensée,0,18-03,36060,1,2
52,2,746818,Place de Gaulle - DOUAI,0,3-05,35936,1,2
52,2,746824,Sainte Marie - PECQUENCOURT,1,3-05,35938,1,2
52,2,746830,Place de Gaulle - DOUAI,0,3-05,35936,1,2
52,2,746831,Sainte Marie - PECQUENCOURT,1,3-05,35938,1,2
52,2,746849,Place de Gaulle - DOUAI,0,3-05,35936,1,2
60,2,747120,Centre Hospitalier,0,12-11,35981,1,2
60,2,747114,Centre Hospitalier,0,12-01,35981,1,2
60,2,747113,Centre Hospitalier,0,12-05,35981,1,2
60,1,746733,Centre Hospitalier,0,12-07,35971,1,2
60,1,746745,Gare - SOMAIN,1,12-07,35982,1,2
60,1,746740,Gare - SOMAIN,1,12-01   ,35982,1,2
60,1,746731,Centre Hospitalier,0,12-05,35981,1,2
60,1,746732,Centre Hospitalier,0,12-05,35981,1,2
60,1,746741,Gare - SOMAIN,1,12-05,35982,1,2
